Order Date,Ship Date,Ship Mode,Country/Region,City,State/Province,Postal Code,Division,Region,Product Name,Sales,Units,Gross Profit,Cost,Factory,Unit Price,Unit Cost,Latitude,Longitude,Target
2024-06-29,2024-07-05,Standard Class,United States,Minneapolis,Minnesota,55407,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2021-04-21,2021-04-26,Standard Class,United States,Los Angeles,California,90008,Chocolate,Pacific,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2021-10-24,2021-10-30,Standard Class,United States,Rancho Cucamonga,California,91730,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2022-02-03,2022-02-06,First Class,United States,Omaha,Nebraska,68104,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2022-02-03,2022-02-06,First Class,United States,Omaha,Nebraska,68104,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2022-05-08,2022-05-13,Standard Class,United States,Salem,Oregon,97301,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2022-11-13,2022-11-18,Standard Class,United States,Lebanon,Tennessee,37087,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-07-10,2023-07-17,Standard Class,United States,Mesa,Arizona,85204,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2023-11-14,2023-11-17,Second Class,United States,Atlanta,Georgia,30318,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-11-14,2023-11-17,Second Class,United States,Atlanta,Georgia,30318,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2023-11-14,2023-11-17,Second Class,United States,Atlanta,Georgia,30318,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2024-09-07,2024-09-10,First Class,United States,Providence,Rhode Island,02908,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2024-09-07,2024-09-10,First Class,United States,Providence,Rhode Island,02908,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2024-12-11,2024-12-16,Standard Class,United States,New York City,New York,10035,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2024-12-11,2024-12-16,Standard Class,United States,New York City,New York,10035,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2024-12-11,2024-12-16,Standard Class,United States,New York City,New York,10035,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2021-05-04,2021-05-05,Same Day,United States,Middletown,Connecticut,06457,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2023-07-17,2023-07-23,Standard Class,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2023-07-17,2023-07-23,Standard Class,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2023-07-17,2023-07-23,Standard Class,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,27.92,8,19.92,8.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-07-17,2023-07-23,Standard Class,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-07-17,2023-07-23,Standard Class,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2023-08-26,2023-09-03,Standard Class,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2023-08-26,2023-09-03,Standard Class,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2023-08-26,2023-09-03,Standard Class,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2023-08-26,2023-09-03,Standard Class,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-08-26,2023-09-03,Standard Class,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2024-04-15,2024-04-21,Standard Class,United States,Concord,North Carolina,28027,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2021-06-22,2021-06-28,Standard Class,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2021-06-22,2021-06-28,Standard Class,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2021-06-22,2021-06-28,Standard Class,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2021-12-01,2021-12-04,First Class,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2021-12-01,2021-12-04,First Class,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2021-12-01,2021-12-04,First Class,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2022-11-17,2022-11-25,Standard Class,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2022-11-17,2022-11-25,Standard Class,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2022-11-17,2022-11-25,Standard Class,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2023-07-04,2023-07-07,First Class,United States,San Francisco,California,94109,Chocolate,Pacific,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2023-07-04,2023-07-07,First Class,United States,San Francisco,California,94109,Chocolate,Pacific,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2023-07-04,2023-07-07,First Class,United States,San Francisco,California,94109,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2023-07-04,2023-07-07,First Class,United States,San Francisco,California,94109,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-09-04,2023-09-09,Standard Class,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2023-09-04,2023-09-09,Standard Class,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2023-09-04,2023-09-09,Standard Class,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2023-09-04,2023-09-09,Standard Class,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2024-11-05,2024-11-10,Standard Class,United States,San Diego,California,92105,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2021-02-18,2021-02-25,Standard Class,United States,Arlington,Texas,76017,Chocolate,Interior,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2021-03-07,2021-03-09,First Class,United States,Seattle,Washington,98103,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2021-03-07,2021-03-09,First Class,United States,Seattle,Washington,98103,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2021-03-07,2021-03-09,First Class,United States,Seattle,Washington,98103,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2023-11-10,2023-11-13,First Class,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2023-11-10,2023-11-13,First Class,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2022-09-18,2022-09-25,Standard Class,United States,Des Moines,Washington,98198,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2023-03-13,2023-03-19,Standard Class,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2023-03-13,2023-03-19,Standard Class,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2023-03-13,2023-03-19,Standard Class,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2023-08-29,2023-09-04,Standard Class,United States,Concord,New Hampshire,03301,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-09-01,2023-09-04,First Class,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2023-09-01,2023-09-04,First Class,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2023-09-01,2023-09-04,First Class,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-09-01,2023-09-04,First Class,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-09-01,2023-09-04,First Class,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2024-05-07,2024-05-13,Standard Class,United States,Los Angeles,California,90004,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2024-09-16,2024-09-22,Standard Class,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2024-11-05,2024-11-08,First Class,United States,Greenwood,Indiana,46142,Other,Interior,Wonka Gum,3.75,3,1.95,1.8,Secret Factory,1.25,0.6,41.446333,-90.565487,3000
2024-11-05,2024-11-08,First Class,United States,Greenwood,Indiana,46142,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2024-11-05,2024-11-08,First Class,United States,Greenwood,Indiana,46142,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,37.5,10,24.5,13.0,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2024-11-06,2024-11-14,Standard Class,United States,Seattle,Washington,98105,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2024-11-06,2024-11-14,Standard Class,United States,Seattle,Washington,98105,Chocolate,Pacific,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2024-11-06,2024-11-14,Standard Class,United States,Seattle,Washington,98105,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2021-12-20,2021-12-24,First Class,United States,Indianapolis,Indiana,46203,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2021-12-20,2021-12-24,First Class,United States,Indianapolis,Indiana,46203,Chocolate,Interior,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2022-11-07,2022-11-13,Standard Class,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2022-11-07,2022-11-13,Standard Class,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2022-11-07,2022-11-13,Standard Class,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2022-11-07,2022-11-13,Standard Class,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2022-11-07,2022-11-13,Standard Class,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2022-11-07,2022-11-13,Standard Class,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2023-02-02,2023-02-08,Standard Class,United States,New York City,New York,10011,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2023-09-25,2023-10-01,Standard Class,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2023-12-17,2023-12-22,Standard Class,United States,Detroit,Michigan,48205,Chocolate,Interior,Wonka Bar - Fudge Mallows,46.8,13,31.2,15.6,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2024-05-18,2024-05-21,First Class,United States,Portland,Oregon,97206,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2024-06-05,2024-06-07,First Class,United States,Pearland,Texas,77581,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2024-08-03,2024-08-08,Standard Class,United States,Bloomington,Illinois,61701,Chocolate,Interior,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2024-09-19,2024-09-26,Standard Class,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2024-09-19,2024-09-26,Standard Class,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2024-09-19,2024-09-26,Standard Class,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2024-09-19,2024-09-26,Standard Class,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2024-11-19,2024-11-24,Standard Class,United States,Henderson,Kentucky,42420,Chocolate,Gulf,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,Wicked Choccy's,3.25,1.14,32.076176,-81.088371,27000
2024-11-19,2024-11-24,Standard Class,United States,Henderson,Kentucky,42420,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2021-03-05,2021-03-09,Second Class,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2021-03-05,2021-03-09,Second Class,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2021-03-05,2021-03-09,Second Class,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2021-03-05,2021-03-09,Second Class,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2021-03-05,2021-03-09,Second Class,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2022-09-10,2022-09-16,Standard Class,United States,Tulsa,Oklahoma,74133,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2023-01-31,2023-02-03,Second Class,United States,Dallas,Texas,75220,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2024-09-04,2024-09-09,Standard Class,United States,Long Beach,New York,11561,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2024-11-19,2024-11-22,Second Class,United States,Carrollton,Texas,75007,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,3.49,1.0,32.881893,-111.768036,27000
2024-11-19,2024-11-22,Second Class,United States,Carrollton,Texas,75007,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2024-11-19,2024-11-22,Second Class,United States,Carrollton,Texas,75007,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2024-11-19,2024-11-22,Second Class,United States,Carrollton,Texas,75007,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2021-11-16,2021-11-21,Standard Class,United States,Decatur,Illinois,62521,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2021-12-20,2021-12-23,Second Class,Canada,Vancouver,British Columbia,V5K,Chocolate,Pacific,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2022-03-28,2022-04-03,Standard Class,United States,Los Angeles,California,90036,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2022-03-28,2022-04-03,Standard Class,United States,Los Angeles,California,90036,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2022-05-10,2022-05-16,Standard Class,United States,Louisville,Colorado,80027,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2022-06-25,2022-07-02,Standard Class,United States,Los Angeles,California,90045,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,3.6,1.1,32.881893,-111.768036,27000
2022-06-25,2022-07-02,Standard Class,United States,Los Angeles,California,90045,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2022-06-25,2022-07-02,Standard Class,United States,Los Angeles,California,90045,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,3.75,1.3,32.076176,-81.088371,27000
2024-03-30,2024-04-02,Second Class,United States,Lakewood,California,90712,Chocolate,Pacific,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2024-04-14,2024-04-18,First Class,United States,Toledo,Ohio,43615,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
2024-04-14,2024-04-18,First Class,United States,Toledo,Ohio,43615,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,3.6,1.2,32.881893,-111.768036,27000
